City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Rongcheng,CN,30.634,117.8517,88.81,65,55,8.3,broken clouds
238,Vidisha,IN,23.5333,77.8167,78.13,92,100,10.94,overcast clouds
239,Kaitangata,NZ,-46.2817,169.8464,37.63,88,58,6.33,broken clouds
240,Oussouye,SN,12.485,-16.5469,80.69,83,98,9.82,light rain
241,Sakakah,SA,29.9697,40.2064,96.37,15,3,3.85,clear sky
242,Abu Dhabi,AE,24.4667,54.3667,102.31,53,0,6.91,clear sky
243,Anadyr,RU,64.75,177.4833,54.1,62,0,11.18,clear sky
244,Gao,ML,16.6362,1.637,88.9,44,68,12.03,broken clouds
245,Tuktoyaktuk,CA,69.4541,-133.0374,40.51,83,100,14.05,overcast clouds
246,Grants Pass,US,42.439,-123.3284,74.71,68,1,5.75,clear sky
247,Sechura,PE,-5.5569,-80.8222,62.6,89,9,8.23,clear sky
248,Uhingen,DE,48.7048,9.5857,69.64,82,94,5.88,overcast clouds
249,Lorengau,PG,-2.0226,147.2712,80.42,81,99,7.49,overcast clouds
250,Klaksvik,FO,62.2266,-6.589,59.92,90,100,17.96,overcast clouds
251,Erdemli,TR,36.605,34.3084,87.87,63,11,9.44,few clouds
252,Okhotsk,RU,59.3833,143.3,64.02,58,45,8.72,scattered clouds
253,Srednekolymsk,RU,67.45,153.6833,60.33,49,72,7.65,broken clouds
254,Navrongo,GH,10.8956,-1.0921,76.62,80,88,11.3,overcast clouds
255,Lewistown,US,40.5992,-77.5714,72.79,91,1,0.0,clear sky
256,Corn Island,NI,12.1694,-83.0418,81.23,81,100,16.44,overcast clouds
257,Erdenet,MN,49.0333,104.0833,62.42,74,98,10.98,overcast clouds
258,Bernalillo,US,35.05,-106.6673,81.5,40,20,1.99,few clouds
259,Bima,ID,-8.4667,118.7167,88.16,53,95,2.82,overcast clouds
260,Arrecife,ES,28.963,-13.5477,71.67,78,75,14.97,broken clouds
261,Yulara,AU,-25.2406,130.9889,67.84,22,0,10.36,clear sky
262,Colonial Park,US,40.3006,-76.8097,72.75,79,100,1.01,overcast clouds
263,Gashua,NG,12.871,11.0482,83.08,62,99,17.81,overcast clouds
264,Boende,CD,-0.2167,20.8667,86.09,52,55,5.5,broken clouds
265,Cabedelo,BR,-6.9811,-34.8339,72.27,82,77,18.5,broken clouds
266,Stovring,DK,56.8854,9.8384,61.41,94,100,13.8,overcast clouds
